# curated/lemmas.tsv: headword-level decisions. Columns: lemma<TAB>pos<TAB>tier<TAB>tags
# tier: 1|2|3|x (x = removed). Empty tier is allowed when a tag implies one (see TAG_POLICY in engine.js).
# pos: N|V|A|ADV for MorphoBr lemmas, or a stub label (PROP, ABBR, INTJ, LOAN, -).
# tags: comma-separated (english, firstname, nonword, polemic, place, abbrev, interj, country, ...).
pretexta	N	2
pretinha	N	3
print	LOAN	3	english
printa	-	3
printada	-	3
printadas	-	3
printado	-	3
printados	-	3
printam	-	3
printamos	-	3
printando	-	3
printar	-	3
printara	-	3
printaram	-	3
printarao	-	3
printaras	-	3
printarei	-	3
printarem	-	3
printaremos	-	3
printaria	-	3
printariam	-	3
printariamos	-	3
printarias	-	3
printarmos	-	3
printas	-	3
printasse	-	3
printassem	-	3
printassemos	-	3
printasses	-	3
printaste	-	3
printava	-	3
printavam	-	3
printavamos	-	3
printavas	-	3
printe	-	3
printei	-	3
printem	-	3
printemos	-	3
printes	-	3
printo	-	3
printou	-	3
prints	LOAN	3	english
projetora	-	2
projetoras	-	2
prolonga	N	3
prolongo	N	3
pronunciado	A	3
prospero	A	3
prostituta	N	3	polemic
proto	A	2
pubis	N	2
puido	A	2
punheta	N	3
punk	-	3
puta	-	3	polemic
putaria	-	3
puto	-	3
puxada	N	3
puzzle	N	3
qatar	-	2	country,english
qua	-	3
quantum	N	3
quark	N	3
quatorze	N	3
queen	-	x	english
queima	N	3
qui	-	3
quipas	-	3
quita	N	3
quiz	-	3	english
quota	N	1
quote	-	x	english
rabisca	N	2
racha	N	3
racing	-	3	english
rack	-	3	english
ragu	-	3
rajado	-	2
rajo	N	2
rala	N	3
rally	N	3	english
ramada	N	3	place
ranking	N	3
rapa	N	3
rapel	N	2
rapper	N	3	english
rasteiro	A	3
rating	-	3	english
rave	-	2
raves	-	2
reata	N	3
rebate	N	3
reclamado	A	3
reclusaos	-	2
recolhida	N	3
recruta	N	3
recua	N	3
recusa	N	3
recusado	A	3
red	-	3	english
reeges	-	3
refletido	A	3
refri	-	2
reggae	N	3
regulado	-	3
regulamentado	A	3
reiki	-	3
rela	N	3
relaxado	-	3
rele	N	3
release	N	3	english
remake	N	3	english
remissaos	-	3
remoes	-	3
renova	N	3
reparado	A	3
repassado	A	3
reporter	N	3
repouso	N	3
represo	-	2
reproduzido	A	3
repulso	-	2
resgatado	A	3
resort	-	3
ressalvo	N	2
restaurado	A	3
resumido	A	3
retem	-	3
retencaos	-	2
retorico	-	2
retracaos	-	3
retratado	A	3
reusa	-	2
reusado	-	2
reusai	-	2
reusais	-	2
reusam	-	2
reusamos	-	2
reusando	-	2
reusar	-	2
reusara	-	2
reusaram	-	2
reusaramos	-	2
reusarao	-	2
reusaras	-	2
reusardes	-	2
reusarei	-	2
reusareis	-	2
reusarem	-	2
reusaremos	-	2
reusares	-	2
reusaria	-	2
reusariam	-	2
reusariamos	-	2
reusarias	-	2
reusarieis	-	2
reusarmos	-	2
reusas	-	2
reusasse	-	2
reusasseis	-	2
reusassem	-	2
reusassemos	-	2
reusasses	-	2
reusaste	-	2
reusastes	-	2
reusava	-	2
reusavam	-	2
reusavamos	-	2
reusavas	-	2
reusaveis	-	2
reuse	-	2	english
reusei	-	2
reuseis	-	2
reusem	-	2
reusemos	-	2
reuses	-	2
reuso	-	2
reusou	-	2
reveillon	N	3
revenda	N	3
revir	V	3
revirao	N	2
ribamar	N	3
ricarda	-	x	firstname
rifa	N	3
rip	-	3	english
ritmica	N	3
road	-	x	english
robotico	A	2
rodio	-	2
rom	N	x
ronca	N	3
rose	A	3
rotula	N	3
rotundo	-	2
round	N	x
router	-	3
royalties	-	3
rpm	-	3
rue	-	3	english
ruge	N	3
ruma	N	3	place
run	-	3	english
rupia	N	3
rusga	N	3
rush	N	3
sab	N	3	english
sacanagem	N	3
safa	N	3
safadaos	-	3
safado	-	3
safari	N	3
sagra	N	3
salga	N	3
samurai	N	3
sapata	N	2
sara	N	3
sarue	-	3
satiro	N	2
savia	-	x	firstname
scanner	N	3	english
